Dates, Prices 
20-Mar-2020,
19-Mar-2020,
18-Mar-2020,
17-Mar-2020,1.89
16-Mar-2020,1.89
13-Mar-2020,1.94
12-Mar-2020,1.82
11-Mar-2020,1.96
10-Mar-2020,1.91
09-Mar-2020,1.74
06-Mar-2020,1.76
05-Mar-2020,1.89
04-Mar-2020,1.83
03-Mar-2020,1.78
02-Mar-2020,1.75
28-Feb-2020,1.79
27-Feb-2020,1.78
26-Feb-2020,1.96
25-Feb-2020,1.93
24-Feb-2020,1.94
21-Feb-2020,1.96
20-Feb-2020,1.98
19-Feb-2020,2.01
18-Feb-2020,2.04
17-Feb-2020,
14-Feb-2020,1.93
13-Feb-2020,1.95
12-Feb-2020,1.91
11-Feb-2020,1.85
10-Feb-2020,1.85
07-Feb-2020,1.93
06-Feb-2020,1.86
05-Feb-2020,1.89
04-Feb-2020,1.89
03-Feb-2020,1.90
31-Jan-2020,1.91
30-Jan-2020,1.94
29-Jan-2020,1.93
28-Jan-2020,1.96
27-Jan-2020,2.03
24-Jan-2020,1.91
23-Jan-2020,1.95
22-Jan-2020,1.89
21-Jan-2020,1.98
20-Jan-2020,
17-Jan-2020,2.07
16-Jan-2020,2.06
15-Jan-2020,2.01
14-Jan-2020,2.15
13-Jan-2020,2.03
10-Jan-2020,2.05
09-Jan-2020,2.09
08-Jan-2020,2.09
07-Jan-2020,2.17
06-Jan-2020,2.10
03-Jan-2020,2.06
02-Jan-2020,2.05
01-Jan-2020,2.09
31-Dec-2019,2.09
30-Dec-2019,2.06
27-Dec-2019,1.75
26-Dec-2019,2.09
25-Dec-2019,2.11
24-Dec-2019,2.11
23-Dec-2019,2.17
20-Dec-2019,2.27
19-Dec-2019,2.21
18-Dec-2019,2.26
17-Dec-2019,2.30
16-Dec-2019,2.34
13-Dec-2019,2.28
12-Dec-2019,2.28
11-Dec-2019,2.28
10-Dec-2019,2.18
09-Dec-2019,2.17
06-Dec-2019,2.31
05-Dec-2019,2.42
04-Dec-2019,2.43
03-Dec-2019,2.42
02-Dec-2019,2.29
29-Nov-2019,2.46
28-Nov-2019,
27-Nov-2019,2.46
26-Nov-2019,2.51
25-Nov-2019,2.51
22-Nov-2019,2.62
21-Nov-2019,2.53
20-Nov-2019,2.56
19-Nov-2019,2.53
18-Nov-2019,2.64
15-Nov-2019,2.70
14-Nov-2019,2.68
13-Nov-2019,2.66
12-Nov-2019,2.72
11-Nov-2019,
08-Nov-2019,2.87
07-Nov-2019,2.84
06-Nov-2019,2.82
05-Nov-2019,2.77
04-Nov-2019,2.77
01-Nov-2019,2.54
31-Oct-2019,2.73
30-Oct-2019,2.71
29-Oct-2019,2.61
28-Oct-2019,2.49
25-Oct-2019,2.26
24-Oct-2019,2.33
23-Oct-2019,2.34
22-Oct-2019,2.21
21-Oct-2019,2.13
18-Oct-2019,2.08
17-Oct-2019,2.29
16-Oct-2019,2.44
15-Oct-2019,2.29
14-Oct-2019,2.13
11-Oct-2019,2.13
10-Oct-2019,2.26
09-Oct-2019,2.26
08-Oct-2019,2.29
07-Oct-2019,2.36
04-Oct-2019,2.25
03-Oct-2019,2.31
02-Oct-2019,2.36
01-Oct-2019,2.36
30-Sep-2019,2.37
27-Sep-2019,2.41
26-Sep-2019,2.57
25-Sep-2019,2.54
24-Sep-2019,2.55
23-Sep-2019,2.55
20-Sep-2019,2.34
19-Sep-2019,2.65
18-Sep-2019,2.72
17-Sep-2019,2.70
16-Sep-2019,2.75
13-Sep-2019,2.61
12-Sep-2019,2.62
11-Sep-2019,2.63
10-Sep-2019,2.67
09-Sep-2019,2.65
06-Sep-2019,2.49
05-Sep-2019,2.49
04-Sep-2019,2.48
03-Sep-2019,2.39
02-Sep-2019,
30-Aug-2019,2.33
29-Aug-2019,2.36
28-Aug-2019,2.24
27-Aug-2019,2.24
26-Aug-2019,2.23
23-Aug-2019,2.15
22-Aug-2019,2.28
21-Aug-2019,2.31
20-Aug-2019,2.35
19-Aug-2019,2.26
16-Aug-2019,2.20
15-Aug-2019,2.19
14-Aug-2019,2.22
13-Aug-2019,2.24
12-Aug-2019,2.21
09-Aug-2019,2.09
08-Aug-2019,2.13
07-Aug-2019,2.18
06-Aug-2019,2.15
05-Aug-2019,2.02
02-Aug-2019,2.12
01-Aug-2019,2.36
31-Jul-2019,2.28
30-Jul-2019,2.22
29-Jul-2019,2.23
26-Jul-2019,2.23
25-Jul-2019,2.26
24-Jul-2019,2.33
23-Jul-2019,2.34
22-Jul-2019,2.33
19-Jul-2019,2.30
18-Jul-2019,2.38
17-Jul-2019,2.44
16-Jul-2019,2.53
15-Jul-2019,2.53
12-Jul-2019,2.54
11-Jul-2019,2.54
10-Jul-2019,2.49
09-Jul-2019,2.41
08-Jul-2019,2.39
05-Jul-2019,
04-Jul-2019,
03-Jul-2019,2.29
02-Jul-2019,2.30
01-Jul-2019,2.33
28-Jun-2019,2.42
27-Jun-2019,2.32
26-Jun-2019,2.34
25-Jun-2019,2.31
24-Jun-2019,2.31
21-Jun-2019,2.27
20-Jun-2019,2.38
19-Jun-2019,2.43
18-Jun-2019,2.44
17-Jun-2019,2.46
14-Jun-2019,2.37
13-Jun-2019,2.43
12-Jun-2019,2.43
11-Jun-2019,2.41
10-Jun-2019,2.42
07-Jun-2019,2.43
06-Jun-2019,2.40
05-Jun-2019,2.45
04-Jun-2019,2.45
03-Jun-2019,2.50
31-May-2019,2.59
30-May-2019,2.69
29-May-2019,2.69
28-May-2019,2.65
27-May-2019,
24-May-2019,2.60
23-May-2019,2.56
22-May-2019,2.73
21-May-2019,2.73
20-May-2019,2.70
17-May-2019,2.61
16-May-2019,2.62
15-May-2019,2.69
14-May-2019,2.70
13-May-2019,2.71
10-May-2019,2.64
09-May-2019,2.62
08-May-2019,2.64
07-May-2019,2.54
06-May-2019,2.54
03-May-2019,2.59
02-May-2019,2.63
01-May-2019,2.59
30-Apr-2019,2.59
29-Apr-2019,2.58
26-Apr-2019,2.58
25-Apr-2019,2.54
24-Apr-2019,2.53
23-Apr-2019,2.53
22-Apr-2019,2.61
19-Apr-2019,
18-Apr-2019,2.54
17-Apr-2019,2.55
16-Apr-2019,2.66
15-Apr-2019,2.75
12-Apr-2019,2.75
11-Apr-2019,2.72
10-Apr-2019,2.72
09-Apr-2019,2.71
08-Apr-2019,2.72
05-Apr-2019,2.62
04-Apr-2019,2.66
03-Apr-2019,2.74
02-Apr-2019,2.76
01-Apr-2019,2.73
29-Mar-2019,2.73
28-Mar-2019,2.69
27-Mar-2019,2.69
26-Mar-2019,2.74
25-Mar-2019,2.72
22-Mar-2019,2.75
21-Mar-2019,2.86
20-Mar-2019,2.86
19-Mar-2019,2.92
18-Mar-2019,2.90
15-Mar-2019,2.95
14-Mar-2019,2.95
13-Mar-2019,2.87
12-Mar-2019,2.83
11-Mar-2019,2.86
08-Mar-2019,2.90
07-Mar-2019,2.90
06-Mar-2019,3.18
05-Mar-2019,3.18
04-Mar-2019,4.25
01-Mar-2019,3.19
28-Feb-2019,2.89
27-Feb-2019,2.89
26-Feb-2019,2.74
25-Feb-2019,2.84
22-Feb-2019,2.74
21-Feb-2019,2.73
20-Feb-2019,2.69
19-Feb-2019,2.69
18-Feb-2019,
15-Feb-2019,2.59
14-Feb-2019,2.61
13-Feb-2019,2.61
12-Feb-2019,2.71
11-Feb-2019,2.76
08-Feb-2019,2.66
07-Feb-2019,2.62
06-Feb-2019,2.58
05-Feb-2019,2.54
04-Feb-2019,2.57
01-Feb-2019,2.70
31-Jan-2019,2.82
30-Jan-2019,3.00
29-Jan-2019,2.94
28-Jan-2019,3.05
25-Jan-2019,3.07
24-Jan-2019,3.13
23-Jan-2019,3.13
22-Jan-2019,3.43
21-Jan-2019,
18-Jan-2019,3.43
17-Jan-2019,3.58
16-Jan-2019,3.58
15-Jan-2019,3.54
14-Jan-2019,3.36
11-Jan-2019,2.95
10-Jan-2019,2.95
09-Jan-2019,2.92
08-Jan-2019,2.89
07-Jan-2019,2.74
04-Jan-2019,2.80
03-Jan-2019,2.72
02-Jan-2019,3.25
01-Jan-2019,
31-Dec-2018,
28-Dec-2018,3.25
27-Dec-2018,3.10
26-Dec-2018,3.42
25-Dec-2018,
24-Dec-2018,
21-Dec-2018,3.70
20-Dec-2018,3.70
19-Dec-2018,3.64
18-Dec-2018,3.80
17-Dec-2018,3.80
14-Dec-2018,3.99
13-Dec-2018,4.31
12-Dec-2018,4.53
11-Dec-2018,4.53
10-Dec-2018,4.54
07-Dec-2018,4.51
06-Dec-2018,4.44
05-Dec-2018,4.69
04-Dec-2018,4.40
03-Dec-2018,4.40
30-Nov-2018,4.61
29-Nov-2018,4.50
28-Nov-2018,4.50
27-Nov-2018,4.28
26-Nov-2018,4.28
23-Nov-2018,
22-Nov-2018,
21-Nov-2018,4.70
20-Nov-2018,4.65
19-Nov-2018,4.65
16-Nov-2018,4.30
15-Nov-2018,4.69
14-Nov-2018,4.10
13-Nov-2018,4.10
12-Nov-2018,3.96
09-Nov-2018,3.74
08-Nov-2018,3.54
07-Nov-2018,3.54
06-Nov-2018,3.53
05-Nov-2018,3.53
02-Nov-2018,3.26
01-Nov-2018,3.36
31-Oct-2018,3.31
30-Oct-2018,3.27
29-Oct-2018,3.20
26-Oct-2018,3.27
25-Oct-2018,3.42
24-Oct-2018,3.42
23-Oct-2018,3.28
22-Oct-2018,3.20
19-Oct-2018,3.20
18-Oct-2018,3.28
17-Oct-2018,3.30
16-Oct-2018,3.27
15-Oct-2018,3.26
12-Oct-2018,3.19
11-Oct-2018,3.16
10-Oct-2018,3.45
09-Oct-2018,3.40
08-Oct-2018,3.28
05-Oct-2018,3.25
04-Oct-2018,3.39
03-Oct-2018,3.26
02-Oct-2018,3.14
01-Oct-2018,3.13
28-Sep-2018,3.01
27-Sep-2018,3.05
26-Sep-2018,3.10
25-Sep-2018,3.12
24-Sep-2018,3.04
21-Sep-2018,3.02
20-Sep-2018,3.07
19-Sep-2018,3.11
18-Sep-2018,3.00
17-Sep-2018,2.95
14-Sep-2018,2.91
13-Sep-2018,2.94
12-Sep-2018,2.98
11-Sep-2018,2.94
10-Sep-2018,2.90
07-Sep-2018,2.88
06-Sep-2018,2.93
05-Sep-2018,3.00
04-Sep-2018,2.96
03-Sep-2018,
31-Aug-2018,2.98
30-Aug-2018,2.96
29-Aug-2018,2.96
28-Aug-2018,2.98
27-Aug-2018,2.98
24-Aug-2018,2.99
23-Aug-2018,3.01
22-Aug-2018,3.02
21-Aug-2018,3.01
20-Aug-2018,3.04
17-Aug-2018,3.01
16-Aug-2018,3.02
15-Aug-2018,3.02
14-Aug-2018,3.02
13-Aug-2018,2.92
10-Aug-2018,2.96
09-Aug-2018,3.02
08-Aug-2018,2.99
